매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
메가MGC커피 검단센트럴점,인천 서구 이음대로 479 1층 102호,,6,3000,14000,200000,23843,25.1,0,10,570,0,0,0
메가MGC커피 청라에코스타점,인천 서구 미래로 11 청라썬앤빌에코스타 1층 101호,,6,16000,16000,40000,1252,31.7,0,2,1200,0,0,0
메가MGC커피 청라5단지점,인천 서구 푸른로8번안길 4,,6,900,1700,200000,15669,29.2,0,11,700,2,0,4
메가MGC커피 백운역점,인천 부평구 이규보로 143 1층 1~2호,,6,3400,3900,260000,20127,41.6,14210,6,400,2,0,16
메가MGC커피 인천장안사거리점,인천 미추홀구 경인로 26,,6,2000,3700,290000,28079,42.3,0,20,300,0,0,12
메가MGC커피 송도NC큐브점,인천 연수구 아트센터대로 131 커낼워크D2 SUMMER 202동 1층 145호,,6,1400,63000,510000,15578,18.6,0,13,600,1,0,4
메가MGC커피 인천불로점,인천 서구 검단로 842 월드아파트 1층 107호,,6,2900,50000,290000,15639,26.6,0,6,780,0,0,0
메가MGC커피 인천논현소래점,인천 남동구 포구로 63 1층 102호,,6,3300,3300,470000,22519,33,0,8,700,1,0,9
메가MGC커피 연수역점,인천 연수구 벚꽃로 114 1층,,6,3200,80000,940000,16329,39.1,9591,20,350,0,0,35
메가MGC커피 부평미래타운점,인천 부평구 영성서로 37 메디칼센터 1층 105호,,6,2600,5900,200000,26211,30.9,0,6,430,3,0,9
메가MGC커피 인천용현점,인천 미추홀구 낙섬중로 43 성우빌딩 1층,,6,1100,1400,740000,33571,38.6,0,25,430,0,0,8
메가MGC커피 부광초사거리점,인천 부평구 부흥로 393 1층,,6,2200,17000,250000,38922,42.2,0,6,520,1,0,6
메가MGC커피 인천효성점,인천 계양구 안남로 548 효성프라자 1층 104호,,6,1300,75000,450000,26719,34.2,0,14,460,2,0,12
메가MGC커피 인천장수점,인천 남동구 장수로 3-12 1층,,6,1100,1100,68000,4164,40.7,0,5,1200,0,0,6
메가MGC커피 송도SK뷰점,인천 연수구 랜드마크로 19 송도SK뷰 상가1동 1층 110호,,6,2400,50000,350000,21374,19.5,0,7,600,2,0,0
메가MGC커피 인천만수중앙점,인천 남동구 백범로 206 1층,,6,1700,10000,280000,37194,37.7,0,7,530,2,0,18
메가MGC커피 계산삼거리점,인천 계양구 계양대로 215 1층,,6,1500,15000,340000,23837,52.1,0,17,470,1,0,17
메가MGC커피 인천가정고점,인천 서구 서달로163번길 7 101호,,6,2200,2900,100000,22377,36.8,0,5,700,3,0,4
메가MGC커피 인천여성가족재단점,인천 부평구 길주로 547 부성빌딩 1층,,6,1600,13000,410000,24827,42.8,12343,16,500,0,0,15
메가MGC커피 주안북부역점,인천 미추홀구 길파로 15 1층,,6,1700,5700,530000,24554,46.7,14907,15,370,2,0,25
메가MGC커피 연수구청점,"인천 연수구 원인재로 124 한양1차아파트 상가동 117,118호",,6,1600,40000,1110000,24407,29.8,0,13,570,4,0,10
메가MGC커피 인천귤현점,인천 계양구 양지로 133 1층 103~104호,,6,1800,3500,140000,9453,31.7,0,9,820,1,0,7
메가MGC커피 송도역점,인천 연수구 비류대로 208 1층 102~103호,,6,1500,4400,160000,13788,40.9,4698,8,530,2,0,7
메가MGC커피 청라시티타워점,인천 서구 청라한내로72번길 23 1층 116호,,6,1600,34000,260000,11686,29.2,0,15,200,0,0,4
메가MGC커피 부평경찰서점,인천 부평구 길주로 505 1층 101호,,6,1100,7500,370000,22403,41.3,12343,10,440,0,0,13
메가MGC커피 구월팬더점,인천 남동구 인주대로 664 메인프라자 1층 102호,,6,3600,49000,500000,34643,43.4,0,10,350,0,0,30
메가MGC커피 송도글로벌캠퍼스점,인천 연수구 송도문화로28번길 28 203동 상가동 1층 135호,,6,3200,260000,390000,27175,33,0,9,530,2,0,0
메가MGC커피 청라경서점,인천 서구 청라커낼로 264 청라두손중앙프라자 1층 104호,,6,800,56000,1770000,26227,28.7,0,27,270,0,0,4
