매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
이디야커피 송도지식정보단지역점,인천 연수구 하모니로177번길 49 형지글로벌 패션복합센터 1층 112호,,5,800,15000,200000,8362,36.5,8128,9,570,0,0,2
이디야커피 인천학익신동아점,"인천 미추홀구 미추홀대로 489 101~103,105호",,5,1800,7600,140000,28460,40.5,0,3,730,1,0,6
이디야커피 인천학익점,인천 미추홀구 한나루로358번길 3 1층,,5,2100,2200,450000,20415,39.7,0,6,690,3,0,4
이디야커피 강화외포리점,인천 강화군 내가면 해안서로 1018 2층,,5,1200,1200,8900,8,48.8,0,1,11480,0,0,0
이디야커피 인천청라중흥점,인천 서구 청라라임로122번길 19-10 1층 104~105호,,5,800,8000,180000,19975,35.3,0,10,820,2,0,0
이디야커피 남동공단점,인천 남동구 남동대로 217 한국산업인력공단 1층 104호,,5,1100,1700,78000,580,35.8,4168,2,630,0,0,3
이디야커피 인천만수로데오점,인천 남동구 장승남로 65 1층,,5,2100,4500,620000,21044,40.1,0,21,590,1,0,18
이디야커피 동인천역점,인천 중구 우현로 73 1층,,5,300,5300,580000,10792,45.7,26792,36,490,1,0,7
이디야커피 경인교대정문점,인천 계양구 향교로 1 1층,,5,400,400,98000,14637,42.9,10053,4,860,3,0,3
이디야커피 연수구청점,인천 연수구 샘말로7번길 2 1층,,5,600,700,850000,24277,36.6,0,26,510,4,0,13
이디야커피 인천청학점,"인천 연수구 비류대로294번길 32-5 1층 106~107,110~111호",,5,1200,3300,110000,16185,43.5,0,6,860,0,0,1
이디야커피 인천송도역점,인천 연수구 비류대로 202 영진프라자 1층,,5,1200,11000,100000,14120,43.5,4698,7,860,2,0,5
이디야커피 인천검암2지구점,인천 서구 승학로 574 현우프라자 1층 102호,,5,300,3300,200000,11555,40.1,0,10,760,1,0,18
이디야커피 인천만수주공점,인천 남동구 만수로50번길 25 1층,,5,1900,7600,51000,18740,33.4,0,16,730,3,0,3
이디야커피 인천장기점,인천 계양구 장기로 34 1층,,5,700,700,110000,7374,33.7,0,6,1740,2,0,10
이디야커피 인천논현소래점,인천 남동구 포구로 77 도원프라자 1층 102~103호,,5,900,6000,180000,24072,33,0,4,1000,1,0,2
이디야커피 간석홈플러스점,인천 남동구 경원대로 971 1층,,5,3000,1600000,2110000,21003,44.2,0,5,690,1,0,1
이디야커피 송도오네스타점,인천 연수구 송도국제대로 157 오네스타 지하1층 A-B08호,,5,2800,150000,4680000,8374,33,20244,17,80,2,0,5
이디야커피 부평삼산사거리점,인천 부평구 평천로 388 1층,,5,1500,3900,430000,26220,33.4,0,16,590,2,0,10
이디야커피 구월힐캐슬점,인천 남동구 구월로 212 힐캐슬프라자 1층,,5,800,110000,420000,46197,44.4,8258,13,650,4,0,2
이디야커피 인천송도유원지점,인천 연수구 청량로79번길 30 1-2층,,5,2000,2000,430000,5447,37.1,0,12,1010,0,0,2
이디야커피 인천모래내시장점,인천 남동구 구월로276번길 45 1층,,5,300,9400,1240000,34438,40.7,14378,22,210,0,0,16
이디야커피 인천문학점,인천 미추홀구 매소홀로 572 1층,,5,900,900,170000,12234,43.6,0,5,740,1,0,2
이디야커피 인천서해그랑블점,인천 연수구 봉재산로44번길 2 1층,,5,1000,8600,160000,14964,19.1,0,5,440,1,0,2
이디야커피 인천성모병원점,인천 부평구 육동로 5 1층,,5,1500,1700,290000,22303,44.7,0,17,320,0,0,21
이디야커피 인천학익중앙점,인천 미추홀구 한나루로456번길 1 1층,,5,1100,6900,140000,21396,44.1,0,5,620,0,0,11
이디야커피 인천구월팬더점,인천 남동구 인주대로 665 1층,,5,1000,1100,550000,35219,43.4,0,11,740,0,0,24
이디야커피 인천용현점,인천 미추홀구 낙섬중로 36 1층,,5,300,3000,730000,31808,38.6,0,28,720,0,0,3
이디야커피 인천계양더프리미어점,인천 계양구 안남로 513 1층,,5,800,1200,360000,26718,33,0,11,1100,1,0,2
이디야커피 인천송도아트포레점,"인천 연수구 인천타워대로 257 아트포레 A동 119,122호",,5,700,120000,270000,7200,28.6,7404,21,690,0,1,2
이디야커피 인천도화오거리점,인천 미추홀구 석정로 271 기아자동차 1층,,5,300,300,460000,26759,41.4,7856,11,460,2,0,6
이디야커피 인하공전점,인천 미추홀구 소성로 81 1층,,5,1100,7000,86000,19370,44.4,0,1,690,4,0,0
이디야커피 송도센트럴점,인천 연수구 테크노파크로111번길 8 송도S타워 101호,29,5,1200,8200,1330000,7064,24.9,0,23,330,0,0,4
이디야커피 송도인천대점,인천 연수구 하모니로 271 송도코스테이 상가1층 104호,3,5,1400,19000,58000,2122,36.5,0,7,860,2,0,0
이디야커피 부평일신점,인천 부평구 일신로14번길 3 1층,,5,500,900,270000,13281,31.9,0,5,450,2,0,9
이디야커피 송도해양경찰청점,인천 연수구 신송로125번길 13 아크리아 1층,65,5,1000,97000,1540000,24173,26.9,0,35,470,1,0,10
이디야커피 인천논현에코점,인천 남동구 에코중앙로156번길 5-7 1층,,5,600,1500,160000,17064,28.5,0,6,1000,2,0,1
이디야커피 인천블루텍점,인천 서구 보듬6로 10 JB바움타워 1층,,5,500,15000,140000,419,32.4,0,5,2360,0,0,2
이디야커피 인천송도타임스페이스점,인천 연수구 하모니로 158 지하1층 B09호,22,5,2000,340000,1010000,8928,24.9,0,25,330,2,0,11
이디야커피 갈산역점,인천 부평구 부평대로 301 남광센트렉스 108호,,5,500,33000,220000,7482,15107,15565,13,580,0,0,9
이디야커피 부평삼산롯데마트점,인천 부평구 길주로 623 대덕리치아노 2층 217호,,5,1600,640000,1510000,28702,40,18509,25,170,0,1,25
이디야커피 연수홈플러스점,인천 연수구 청능대로 210 지하1층,,5,2800,980000,3330000,13277,33.6,18142,14,860,0,0,2
이디야커피 연수하이마트점,인천 연수구 청능대로 64 1층,,5,1400,1400,650000,14939,38.5,0,9,550,1,0,13
이디야커피 인천엠파크점,인천 서구 봉수대로 158 엠파크타워 F동 1층 108호,,5,800,17000,78000,16,43,0,5,1270,0,0,2
이디야커피 인천오류지구점,인천 서구 단봉로 97-7 센타프라자 1층,,5,1200,8100,140000,9016,32.4,4347,5,1600,1,0,1
이디야커피 계양이마트점,인천 계양구 봉오대로 785 1층,,5,1300,610000,1040000,35296,35,0,14,520,1,0,11
이디야커피 송도커낼워크점,인천 연수구 아트센터대로 131 여름동 202동 166호,,5,300,63000,510000,15578,18.6,0,14,670,1,0,3
이디야커피 인천답동점,인천 중구 제물량로 128 1층,,5,600,900,790000,14369,51.4,0,18,320,3,0,1
이디야커피 인천논현힘찬병원점,인천 남동구 논현로 72 힘찬종합병원 1층,,5,2300,15000,74000,14882,35.8,0,2,720,1,0,0
이디야커피 인천가정지구점,인천 서구 청중로 486 부일프라자 1층 103호,,5,700,4300,280000,20274,32.3,0,8,570,2,0,6
이디야커피 인천논곡점,인천 남동구 함박뫼로 437 논현주공2단지아파트 상가 1층 102호,,5,800,6800,63000,11177,41.5,0,4,1010,2,0,0
이디야커피 인천국제성모병원점,인천 서구 심곡로100번길 31 마리스텔라 지하2층,,5,1600,15000,49000,6015,45.6,0,1,990,1,0,1
이디야커피 동인천이마트점,인천 중구 인중로 134 2층,,5,1600,560000,1090000,11568,51.4,3676,5,320,2,0,0
이디야커피 인하홈플러스점,인천 미추홀구 소성로 6 1층,,5,2000,49000,530000,11491,43.8,13298,17,630,2,0,4
이디야커피 부평로데오점,인천 부평구 시장로 17-1 인일빌딩 1-3층,,5,2600,3000,3340000,30926,46.3,13714,86,200,1,0,66
이디야커피 인천논현홈플러스점,인천 남동구 청능대로 596 지하1층,,5,300,150000,1180000,24756,36.5,10978,31,320,0,0,17
