매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
빽다방 인천석바위시장점,인천 미추홀구 경원대로 848 주안태흥프라자 1층,,7,1300,23000,19000,24114,53.5,7867,21,760,0,0,26
빽다방 송도학원가점,인천 연수구 신송로 161 송도더하이츠 1층 106호,,7,2800,99000,43000,21076,27.5,0,46,300,1,0,20
빽다방 인천산곡고점,인천 부평구 부영로189번길 36 풍성프라자 1층 106호,,7,2800,20000,11000,40817,33.4,0,12,450,1,0,9
빽다방 청라국제업무단지점,인천 서구 청라한내로100번길 24 1층 132호,,7,1500,31000,22000,11982,29.1,0,18,860,0,0,3
빽다방 인천작전역점,인천 계양구 효서로 233 1층,,7,800,8100,19000,22964,34.1,24928,19,350,1,0,13
빽다방 청라좋은병원점,인천 서구 청라에메랄드로 84 청라딜라이트2차 1층 104호,,7,1200,21000,19000,19588,32.3,0,23,370,0,0,6
빽다방 송도캠퍼스타운점,인천 연수구 송도과학로27번길 55 캠퍼스타운 D동 103호,,7,1500,210000,16000,16153,31.2,10565,10,1450,0,0,0
빽다방 송도랜드마크시티점,인천 연수구 랜드마크로 68 1층 40호,,7,1100,240000,11000,26406,21,0,8,560,0,0,0
빽다방 인천관교한신점,인천 미추홀구 인하로352번길 3 1층,,7,1000,1000,5500,23657,48.6,0,9,600,2,0,16
빽다방 인천구월아시아점,인천 남동구 인하로 607 모아프라자 106호,,7,1000,17000,5400,18264,42.9,0,7,580,1,0,3
빽다방 인천갈산점,인천 부평구 주부토로249번길 17 171동 1층 122호,,7,500,21000,18000,16728,33.4,0,26,460,0,0,13
빽다방 갈산역점,인천 부평구 부평대로 293 부평테크시티 1층 119호,,7,1700,7500,15000,8858,36.6,15565,16,460,0,0,11
빽다방 송림오거리점,인천 동구 송림로 91 1층,,7,600,600,9600,12579,37.5,0,9,560,3,0,5
빽다방 인천검단파라곤점,인천 서구 이음2로 29 검단파라곤센트럴파크아파트상가 603동 1층 306호,,7,900,60000,8800,27290,25,0,11,610,1,0,0
빽다방 인천서운산업단지점,인천 계양구 서운산단로3길 4 SB타워 1층 107호,,7,600,16000,1800,0,39.2,0,4,1600,0,0,3
빽다방 인천계양맛길점,인천 계양구 도두리로 33 1층 102호,,7,1100,38000,24000,32333,34.9,0,22,500,2,0,25
빽다방 인천구월NC점,인천 남동구 인하로 497-9 신현프라자 1층 101호,,7,2300,17000,50000,14250,48.7,26289,27,190,0,0,45
빽다방 인천마전역점,인천 서구 완정로 60 정안빌딩 A동 101호,,7,800,7400,13000,21948,35,7444,10,890,2,0,14
빽다방 지식정보단지역점,인천 연수구 인천타워대로54번길 9 에몬스프라자 1층 111호,47,7,2900,83000,15000,8878,33.6,8128,10,710,1,0,2
빽다방 인천용현토지점,인천 미추홀구 낙섬중로 40 1층,,7,1400,1900,12000,32621,38.5,0,25,950,1,0,7
빽다방 인천부평공고점,인천 부평구 주부토로 184 1층 101호,,7,900,5000,3500,23726,38.4,0,5,560,4,0,5
빽다방 주안북부역점,"인천 미추홀구 길파로 9 1층 5,6호",,7,1700,3900,9900,26087,46.6,14907,16,330,2,0,20
빽다방 인천불로점,인천 서구 검단로768번길 4 방주프라자 103호,,7,1300,6300,7300,13198,32.4,0,6,1600,1,0,7
빽다방 청라더리브티아모점,인천 서구 중봉대로 490 1층 115호,,7,1600,26000,7200,2054,29.7,0,9,870,0,0,5
빽다방 인천경인교대역점,인천 계양구 계산로 99 1층,,7,1900,2200,20000,26935,39.2,10053,17,680,0,0,13
빽다방 남인천세무서점,인천 남동구 인하로 545 인택스빌딩 1층 108호,,7,900,20000,25000,15694,48.7,0,26,540,1,0,26
빽다방 인천검암2지구점,인천 서구 승학로 562 1층,,7,2000,2900,7600,13282,40,0,11,600,2,0,19
빽다방 인천당하점,인천 서구 청마로167번길 3,,7,1100,15000,15000,26919,31.2,13276,17,880,1,0,25
빽다방 송도스마트밸리점,인천 연수구 송도미래로 30 스마트밸리 지식산업센터 F동 2층 207호,,7,1600,130000,7300,2703,33.6,0,10,1250,1,0,2
빽다방 인천화전초교점,인천 계양구 주부토로 374 1층 102호,,7,1300,11000,3200,30755,34.9,0,8,700,1,0,7
빽다방 인천검단블루텍점,인천 서구 보듬로 146 가동 1층 110호,,7,1000,5900,3900,380,32.5,0,6,3840,0,0,1
빽다방 인천원당점,인천 서구 고산후로95번안길 21 멀티프라자 101호,,7,600,12000,16000,22288,25.7,0,20,1100,1,0,14
빽다방 인천효성e편한세상점,인천 계양구 효서로 145 상가 2동 1층 106호,,7,1100,21000,5900,31600,34,0,8,530,1,0,6
빽다방 인천부개코오롱점,인천 부평구 부평문화로 216 근린생활시설 1층 1호,,7,500,5900,7500,27772,35.2,0,13,630,2,0,3
빽다방 인천성민병원점,인천 서구 신석로 79 무한빌딩 1층 106호,,7,1400,9800,9900,25966,38.1,0,17,450,0,0,20
빽다방 인천가정고점,"인천 서구 서달로163번길 4 1층 105,111호",,7,300,15000,3100,21986,36.8,0,5,630,2,0,4
