매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
파리바게뜨 인천석남점,인천 서구 가정로 204,,2,5600,5900,23000,21713,45.7,9278,11,470,1,0,17
파리바게뜨 영종현대점,인천 중구 하늘별빛로65번길 7-4 현대프라자 1층,,2,4800,19000,420000,18808,30.2,0,6,510,0,0,11
파리바게뜨 미추홀구청점,인천 미추홀구 경인로 66 1층,,2,3800,3800,140000,23541,42,0,0,510,2,0,16
파리바게뜨 구월아시아드점,인천 남동구 인하로 607 모아프라자 1층 102호,,2,3300,16000,78000,18264,43,0,3,800,2,0,7
파리바게뜨 구월힐캐슬점,인천 남동구 용천로 70 동호프라자 105호,,2,3800,5400,140000,46621,44.7,14378,4,580,5,0,10
파리바게뜨 부평청천점,"인천 부평구 원길로 34 1층 105,106호",,2,4700,23000,33000,29426,38.4,12343,2,340,2,0,17
파리바게뜨 검단2지구점,"인천 서구 완정로65번길 10 피오레단지상가 B동 1층 117,118,119호",,2,3500,3600,91000,21421,35,7444,8,290,3,0,19
파리바게뜨 인천장수점,인천 남동구 장수로 3-14 1층,,2,1800,1800,66000,4164,40.7,5852,0,1240,0,0,9
파리바게뜨 용현유원점,인천 미추홀구 낙섬중로91번길 16-24 1층,,2,2100,3200,38000,32657,39.7,7670,5,600,1,0,11
파리바게뜨 승기사거리점,"인천 미추홀구 경원대로 774 태형빌딩 103,104호",,2,4900,7300,310000,21568,49.2,0,0,410,3,0,29
파리바게뜨 작전동보점,인천 계양구 주부토로 364,,2,3800,4100,6500,30317,35,0,2,700,2,0,11
파리바게뜨 서구불로점,인천 서구 검단로 842 월드상가 1층 149~150호,,2,7700,50000,57000,15639,26.6,0,3,830,2,1,1
파리바게뜨 학익신동아점,인천 미추홀구 매소홀로 474,,2,4500,16000,21000,23864,40.8,0,2,560,2,0,25
파리바게뜨 논현웰카운티점,인천 남동구 논현로 235-1 상가1동 1층 7호,,2,3600,14000,89000,20558,34.2,0,0,500,5,1,2
파리바게뜨 계산새길점,인천 계양구 계산로 144,,2,4100,18000,19000,36643,38.4,0,2,700,6,0,10
파리바게뜨 마전풍림점,인천 서구 마전로115번길 12 1층,,2,3800,7000,220000,6897,38,0,0,1210,2,0,5
파리바게뜨 만수로데오점,인천 남동구 장승남로 62 기성빌딩,,2,5800,11000,160000,21747,42.7,0,6,1000,4,0,25
파리바게뜨 나누리병원점,인천 부평구 장제로 156 나누리병원 1층,,2,6500,6500,24000,38210,42.4,0,6,580,4,0,20
파리바게뜨 인천시청역점,인천 남동구 구월로 79 1층,,2,2300,2500,14000,22352,48,7700,2,430,3,0,21
파리바게뜨 서구가정점,인천 서구 봉오재3로 40 가정프라자 1층 103호,,2,3100,10000,62000,20345,32.3,0,3,820,2,0,7
파리바게뜨 주안역북부점,인천 미추홀구 석정로 391 1층,,2,3300,3300,13000,24211,46.7,0,6,450,2,0,34
파리바게뜨 주안센트레빌점,인천 미추홀구 석정로 453 1층,,2,3700,3700,3600,30843,46.3,14907,3,570,1,0,37
파리바게뜨 논현역남부점,인천 남동구 논고개로 101 아름다운타워 1층 125~126호,,2,6500,92000,300000,21383,36.5,10978,5,270,0,0,27
파리바게뜨 계양이마트점,인천 계양구 오조산로 3 한미리빌딩 1층 102호,,2,5700,24000,85000,33752,35,0,3,400,4,0,30
파리바게뜨 검암2지구점,인천 서구 검암로20번길 35 해동프라자 103호,,2,2500,4200,36000,11451,35.9,7273,5,830,5,0,42
파리바게뜨 운서푸르지오점,인천 중구 흰바위로 284 디딤돌프라자 1층 112호,,2,3500,60000,85000,6899,59,0,2,880,0,0,5
파리바게뜨 한화에코점,"인천 남동구 논고개로 12 에코메트로12단지 상가 1층 102,104~105호",,2,8300,21000,28000,23548,35.9,0,0,1000,1,0,2
파리바게뜨 동양지구점,"인천 계양구 동양로 107 동양타운 104,105호",,2,4100,14000,18000,14240,30,0,3,1130,1,0,5
파리바게뜨 인천도림점,"인천 남동구 도림로11번길 16 1층 103,104호",,2,4000,4100,98000,8168,38.1,0,0,1210,1,1,8
파리바게뜨 간석벽산점,인천 남동구 호구포로 914,,2,3800,13000,81000,31234,35.4,0,4,610,2,1,18
파리바게뜨 영종이편한점,"인천 중구 두미포로 112 e편한세상영종국제도시오션하임 상가동 1층 113,114호",,2,1400,15000,57000,16771,30.2,0,0,680,2,0,0
파리바게뜨 검단법조타운,"인천 서구 서로3로 104 신화디벨로퍼 105,106호",,2,6300,30000,43000,18511,25.8,0,3,630,4,0,1
파리바게뜨 인천화도진점,인천 동구 화도진로106번길 1 1층,,2,3300,3300,7700,18049,47.8,0,2,580,4,0,6
파리바게뜨 학익풍림점,인천 미추홀구 매소홀로 338,,2,6400,27000,120000,20540,33.7,0,2,350,3,0,3
파리바게뜨 검단예미지점,"인천 서구 서로4로 89 예미지트리플에듀 2738동 지하2층 123,124호",,2,3100,36000,70000,30188,25.1,0,3,770,3,0,4
파리바게뜨 간석역남부점,인천 남동구 경인로 520 1층,,2,2000,27000,44000,27121,49.2,10927,6,260,1,0,26
파리바게뜨 연수럭키점,인천 연수구 원인재로 81 1층,,2,1700,11000,240000,26018,27.3,18142,6,400,4,0,9
파리바게뜨 인천공항가든점,인천 중구 운서동 2868 제2여객터미널 3층 일반지역 중앙,,2,24000,4900000,4900000,14448,63.7,17204,7,50,0,0,0
파리바게뜨 산곡푸르지오점,"인천 부평구 안남로 261 전방프라자 103,105호",,2,5500,47000,69000,36436,28.1,17060,3,530,5,0,13
