매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
컴포즈커피 인천계산이학점,인천 계양구 주부토로 512 1층,,4,1900,2900,340000,33252,41.3,0,12,388,1,0,27
컴포즈커피 인천작전여고점,인천 계양구 장제로 719-23 1층,,4,1900,7400,490000,28215,38.6,0,11,450,3,0,38
컴포즈커피 인천동수역점,인천 부평구 동수로 7 로뎀레뷰 1층 110호,,4,1200,24000,140000,21167,44.5,7124,11,460,2,0,26
컴포즈커피 검단사거리점,인천 서구 검단로 500 101호,,4,1500,14000,530000,21545,35.7,15003,25,430,0,0,53
컴포즈커피 인천송도센트로드점,인천 연수구 인천타워대로 323 상가D동 1층 110호,,4,2000,130000,350000,1106,18.5,3087,14,650,0,0,8
컴포즈커피 인천심곡점,인천 서구 심곡로 44-1 연평프라자 102호,,4,700,7900,650000,15537,38.3,0,13,400,0,0,43
컴포즈커피 인천관교점,인천 남동구 문화서로23번길 4 1층,,4,1000,4000,560000,21153,49.4,0,25,430,2,0,32
컴포즈커피 인천산곡1동점,인천 부평구 원적로 292 1층 104호,,4,800,8100,89000,20520,24.3,0,4,500,3,0,9
컴포즈커피 인천연희점,인천 서구 승학로 326 1층,,4,1800,5800,120000,15122,40.3,0,8,550,3,0,27
컴포즈커피 호구포점,인천 남동구 논현로 40 더클라스프라자 103호,,4,1600,13000,420000,12915,36.1,7459,20,380,0,0,8
컴포즈커피 인천길병원점,인천 남동구 구월남로 190 1층 105호,,4,1200,23000,640000,42254,43.2,0,19,370,1,0,54
컴포즈커피 인천부평현대1단지점,인천 부평구 경원대로 1286 부평메디아나센터 1층 102호,,4,2100,17000,370000,20067,40,0,7,690,0,0,12
컴포즈커피 계양구청점,인천 계양구 계양문화로 96 101호,,4,3100,11000,1450000,34641,39.3,0,29,360,0,0,42
컴포즈커피 인천간석홈타운점,인천 남동구 구월로 65 현대홈타운아파트 102동 1층 106호,,4,1200,30000,170000,23220,49.6,7700,11,400,0,0,18
컴포즈커피 인천서창2지구점,인천 남동구 서창남로 35 1층 108호,,4,1800,17000,670000,13327,36,0,20,360,0,0,15
컴포즈커피 인천검암점,인천 서구 승학로 488 한영빌딩 1층 104호,,4,1200,8600,500000,13173,36,0,11,500,0,0,30
컴포즈커피 송도더테라스점,인천 연수구 센트럴로 415 S동 153호,,4,1000,140000,190000,16459,19.4,0,5,470,0,0,0
컴포즈커피 인천구월여중점,인천 남동구 예술로174번길 46 인스테이션 1층 104호,,4,1500,4200,1200000,21497,44,20963,32,180,1,0,113
컴포즈커피 불로점,인천 서구 검단로744번1길 23 1층,,4,2700,5000,300000,12439,29.6,0,6,810,0,0,7
컴포즈커피 주안시민공원점,인천 미추홀구 미추홀대로 688 1층,,4,1300,8900,860000,30207,47.4,0,34,300,0,0,61
컴포즈커피 인천연수구청점,인천 연수구 원인재로 124 상가동 106호,,4,1400,40000,1110000,24940,30.1,0,13,480,3,0,7
컴포즈커피 인천주안플러스타워점,인천 미추홀구 주안로 136 1층 105호,,4,1300,18000,500000,35597,48,0,16,320,0,0,87
컴포즈커피 인천산곡고점,인천 부평구 부영로189번길 36 풍성프라자 101호,,4,2400,19000,540000,40817,33.5,0,12,630,1,0,16
컴포즈커피 구월인향점,인천 남동구 인주대로 664 메인프라자2차 103호,,4,1400,49000,500000,34643,43.6,0,10,380,0,0,62
컴포즈커피 인천청라힐데스하임점,인천 서구 청라라임로16번길 30 1층,,4,900,1600,230000,17322,28.8,0,7,420,2,0,5
컴포즈커피 인천마크원점,인천 남동구 호구포로 194 마크원지식산업센터 115호,,4,1000,12000,240000,7191,36.1,7459,13,380,0,0,9
컴포즈커피 인천계산삼거리점,인천 계양구 계양대로 214 에이스타운 1층 101호,,4,1700,25000,430000,27799,48.7,0,21,550,1,0,23
컴포즈커피 남동루체스타점,인천 남동구 남동대로 353 JK루체스타 1층 105호,,4,900,8100,14000,70,41.7,0,2,830,0,0,2
컴포즈커피 인천계양산점,인천 계양구 주부토로 579 1층,,4,1500,3800,220000,23099,47.6,0,10,480,1,0,15
컴포즈커피 인천석바위점,인천 미추홀구 경원대로 861 1층,,4,1500,1900,660000,27968,48.9,7867,23,330,0,0,49
컴포즈커피 계산DS점,인천 계양구 경명대로 1130 1층 101호,,4,1300,5500,240000,32782,45.4,18773,12,480,2,0,31
컴포즈커피 인천당하DS점,인천 서구 청마로 92 상가동 1층,,4,1800,20000,940000,17661,34.6,0,6,680,0,0,6
컴포즈커피 인천검단온누리점,"인천 서구 완정로 196 102,103호",,4,1300,2100,520000,19734,38.6,15003,15,440,0,0,46
컴포즈커피 인천마전점,인천 서구 완정로 57-1 우림프라자 1층 101호,,4,1300,2500,350000,21535,35.2,7444,10,360,2,0,29
컴포즈커피 송도타임스페이스점,인천 연수구 하모니로 158 C동 1층 118호,22,4,2000,340000,1010000,8928,24.6,14271,22,630,1,0,15
컴포즈커피 모래내시장점,인천 남동구 호구포로800번길 8 1층 104호,,4,1400,9000,1140000,35767,40.8,14378,22,500,2,0,34
컴포즈커피 인천석천사거리점,인천 남동구 남동대로837번길 5 상가 1층 4호,,4,1400,11000,120000,37531,43.2,8258,4,360,2,0,25
컴포즈커피 인천순복음교회점,인천 미추홀구 인하로 458 1층,,4,1100,1100,8730000,15850,53.7,26289,15,400,1,0,28
컴포즈커피 만수5동점,인천 남동구 구월로 307 영동빌딩 1층,,4,1400,3800,360000,30053,38.7,0,8,500,0,0,44
컴포즈커피 인천향촌점,인천 남동구 만수서로 60 105호,,4,1700,13000,400000,33583,37.7,0,16,640,2,0,17
컴포즈커피 인천간석점,인천 남동구 경인로 520 지하1층 B06호,,4,1700,27000,310000,27121,49.3,0,16,380,1,0,31
컴포즈커피 인천부평하이마트점,인천 부평구 길주로 512 1층,,4,2200,91000,410000,24490,41.4,12343,13,280,0,0,21
컴포즈커피 인천효성e편한세상점,인천 계양구 효서로 145 e편한세상계양더프리미어 상가 1층 15호,,4,1200,19000,330000,31715,34.1,0,9,500,1,0,13
컴포즈커피 인천연수유천점,인천 연수구 먼우금로 302 1층 121호,,4,1000,16000,150000,13028,46.7,0,11,450,0,0,16
컴포즈커피 청라센트럴프라자점,인천 서구 중봉대로 588 청라센트럴프라자 1층,,4,1700,81000,2320000,29177,28.8,0,34,260,0,0,12
컴포즈커피 루원시티점,인천 서구 봉오재3로 66 상가1동 115호,,4,1100,51000,330000,24455,32.4,0,11,500,2,0,22
컴포즈커피 인천주안1동점,인천 미추홀구 석바위로 87 1층,,4,1800,2100,860000,31784,47.5,0,27,320,0,0,89
컴포즈커피 부평테크로벨리점,"인천 부평구 주부토로 236 인천테크노밸리U1센터 A동 3층 311,312호",,4,1900,140000,260000,26542,33.5,0,21,110,0,0,28
컴포즈커피 남인천세무서점,인천 남동구 인하로 545 인텍스빌딩 1층 111호,,4,1000,25000,600000,15694,48.9,0,26,360,1,0,54
컴포즈커피 인천우림라이온스밸리점,인천 부평구 부평대로 283 우림라이온스밸리 B동 113호,,4,400,67000,210000,8201,36.7,15565,12,520,0,0,17
컴포즈커피 인천청천점,인천 부평구 세월천로 55 1층,,4,900,16000,580000,30798,28.9,0,20,550,2,0,13
컴포즈커피 인천구월4동점,인천 남동구 구월말로3번길 4 1층,,4,1800,1700,100000,19846,40,0,2,630,1,0,39
컴포즈커피 청라중앙DS점,인천 서구 청라커낼로260번길 11 진성프라자 1층,,4,1600,100000,1720000,26579,28.8,0,22,420,0,0,8
컴포즈커피 인천완정점,인천 서구 청마로7번길 24 101호,,4,1500,7400,720000,26141,30.8,13276,15,380,2,0,49
컴포즈커피 영종하늘도시점,인천 중구 자연대로 47 대지스타타워2 1층 104호,,4,1600,120000,1360000,26429,30.5,0,30,320,0,0,24
컴포즈커피 송도이편한세상점,인천 연수구 랜드마크로 113 후문상가 B-2동 1층 113호,,4,1200,64000,100000,24347,21.1,0,3,750,1,0,0
